author|0|body_xml
duke-81|2013/05/14 14:16:41|у меня чот всё залипло
duke-81|2013/05/14 14:16:43|конф висит
duke-81|2013/05/14 14:16:50|а надо прям ща отпускать?
iabbliz|2013/05/14 14:16:58|лучше да
duke-81|2013/05/14 14:17:02|не могу
duke-81|2013/05/14 14:17:05|тех причина
duke-81|2013/05/14 14:17:09|конфигуратор умер
duke-81|2013/05/14 14:17:10|жду
iabbliz|2013/05/14 14:17:13|<ss type="smile">:)</ss>
duke-81|2013/05/14 14:24:40|я все поместил
iabbliz|2013/05/14 14:24:47|спасибо
iabbliz|2013/05/15 06:06:25|привет
duke-81|2013/05/15 06:06:27|ты в рзд общем сидишь?
iabbliz|2013/05/15 06:06:59|сейчас отпущу
iabbliz|2013/05/15 06:07:56|отпустил
duke-81|2013/05/15 06:08:29|спс
iabbliz|2013/05/15 06:34:33|Спроси у Веры
duke-81|2013/05/15 06:34:44|)ну у тебя нет такой информации?
iabbliz|2013/05/15 06:34:50|нету
duke-81|2013/05/15 06:34:57|сегодня ты не будешь откатывать же до обеда?)
iabbliz|2013/05/15 06:47:15|тебе рздОбщий на долго нужен?
duke-81|2013/05/15 06:48:17|скоро освобожу
iabbliz|2013/05/15 06:48:29|а можешь дать на 2 мин?
duke-81|2013/05/15 06:48:46|да
duke-81|2013/05/15 06:48:47|ща
duke-81|2013/05/15 06:49:55|отпустил
iabbliz|2013/05/15 06:50:22|спасибо
iabbliz|2013/05/15 06:50:24|я быстро
duke-81|2013/05/15 06:50:29|ок
iabbliz|2013/05/15 06:53:51|отпустил
duke-81|2013/05/15 06:54:00|отл
iabbliz|2013/05/17 05:53:34|Привет
iabbliz|2013/05/17 05:53:54|пока в круге ничего не делай. Вера сказала восстановить данные.
duke-81|2013/05/17 06:25:29|извиняюсь
duke-81|2013/05/17 06:25:30|привет
iabbliz|2013/05/17 06:25:33|привет
iabbliz|2013/05/17 06:25:40|Тагиииилллл!!!
duke-81|2013/05/17 06:25:45|а как так то
duke-81|2013/05/17 06:25:49|нафига я всё делал
iabbliz|2013/05/17 06:25:54|постараюсь аккуратно
iabbliz|2013/05/17 06:25:56|твои останутся
duke-81|2013/05/17 06:25:59|ы
duke-81|2013/05/17 07:43:54|
iabbliz|2013/05/17 10:24:12|ты в круг модел?
iabbliz|2013/05/17 10:24:13|зашел
iabbliz|2013/05/17 10:37:53|Конфигурация восстановлена.
iabbliz|2013/05/17 10:38:02|объекты отпустил
iabbliz|2013/05/17 10:38:04|почти все.
duke-81|2013/05/17 10:38:09|<ss type="cool">(cool)</ss>без потерь?
iabbliz|2013/05/17 10:38:26|вскрытие покажет <ss type="cool">(cool)</ss>
duke-81|2013/05/17 10:38:30|гыгы
iabbliz|2013/05/18 10:19:09|надо включать только ограничение по Организации
iabbliz|2013/05/18 10:19:29|остальные ограничения по Контрганетам и Типам цен идет программное
duke-81|2013/05/18 10:19:35|С Григорюком поговори
duke-81|2013/05/18 10:19:49|там проблема в том что нет РЛС на документ установка цен
duke-81|2013/05/18 10:19:51|и тип цен
iabbliz|2013/05/18 10:19:58|есть
duke-81|2013/05/18 10:20:10|по организации?
duke-81|2013/05/18 10:20:19|а чо тада все не работает?)
iabbliz|2013/05/18 10:20:23|надо включать только по организации
iabbliz|2013/05/18 10:20:33|остальные если включить будут ошибки, что ты описал
duke-81|2013/05/18 10:20:42|это не я писал
duke-81|2013/05/18 10:20:42|а он
iabbliz|2013/05/18 11:30:01|сейчас отпущу вроде поправил, если ты за код Крашениникова
iabbliz|2013/05/18 11:30:34|отпустил
duke-81|2013/05/18 11:30:50|да
duke-81|2013/05/18 11:30:53|про него
duke-81|2013/05/18 11:31:03|ты закаментил или исправил? можно не смотреть?
iabbliz|2013/05/18 11:31:12|я исправил
iabbliz|2013/05/18 11:31:15|смотри
iabbliz|2013/05/18 11:31:18|=)
duke-81|2013/05/18 11:31:40|)))
duke-81|2013/05/18 11:31:45|у меня другая проблема
duke-81|2013/05/18 11:31:50|счет на оплату покупателю
duke-81|2013/05/18 11:32:03|при записи модифицированности флаг выстреливает
duke-81|2013/05/18 11:32:21|в контроле какомто
duke-81|2013/05/18 11:32:32|низя перед записью делать?
iabbliz|2013/05/18 11:32:36|всмысле после записи док остается модифицированным?
duke-81|2013/05/18 11:32:41|да
duke-81|2013/05/18 11:32:46|я отследил
duke-81|2013/05/18 11:32:56|модифицированность меняется в соытии формы при записи
duke-81|2013/05/18 11:33:06|там процедура контроля
duke-81|2013/05/18 11:33:12|она и выстреливает этот флаг
iabbliz|2013/05/18 11:33:19|контроль размещения?
duke-81|2013/05/18 11:33:22|ага
iabbliz|2013/05/18 11:33:34|а в какой момент не поймал?
duke-81|2013/05/18 11:33:41|не успел)
duke-81|2013/05/18 11:33:47|обновляюсь динамически)
duke-81|2013/05/18 11:38:02| //+ Раздолье Иванов А.Б. 2013-04-11       
 рздПроставитьВДокументеСсылки(мСсылкаНаБудущийЗаказПокупателя); 
 //- Раздолье Иванов А.Б. 2013-04-11
duke-81|2013/05/18 11:38:09|вот тут
duke-81|2013/05/18 11:38:15|модифисированнасть
duke-81|2013/05/18 11:38:29|низя перед записью это делать?\
iabbliz|2013/05/18 11:41:16|это в Отмене стоит?
iabbliz|2013/05/18 11:41:34|в исключении?
duke-81|2013/05/18 11:41:37|нет
duke-81|2013/05/18 11:42:02|форма счета на олату
iabbliz|2013/05/18 11:42:08|конечно можно было перед записью
duke-81|2013/05/18 11:42:11|строка 5239
iabbliz|2013/05/18 11:42:15|только МЛИН надо было бы и делать нормально все
iabbliz|2013/05/18 11:42:21|весь алгоритм формирование документов
duke-81|2013/05/18 11:42:23|ну понятно)))
iabbliz|2013/05/18 11:42:24|автоматически
iabbliz|2013/05/18 11:42:29|автоматический
iabbliz|2013/05/18 11:42:34|который тоже надо было делать ДО записи
duke-81|2013/05/18 11:42:51|)
iabbliz|2013/05/18 11:43:00|просто попробуй закомментируй строчку
duke-81|2013/05/18 11:43:07|в общем я трогать это всё не буду
duke-81|2013/05/18 11:43:11|косяк не страшный
iabbliz|2013/05/18 11:43:12|но может вылезти &quot;Объект не найден&quot;
iabbliz|2013/05/20 16:28:29|Привет
iabbliz|2013/05/20 16:28:31|тут?
duke-81|2013/05/20 16:28:42|привет
duke-81|2013/05/20 16:28:43|да
iabbliz|2013/05/20 16:29:04|выгружаю CF рабочей базы тут
iabbliz|2013/05/20 16:29:09|его можно будет сразу взять
duke-81|2013/05/20 16:29:26|а подключиться то как можно
duke-81|2013/05/20 16:29:36|мне цф то не нужен особо)
duke-81|2013/05/20 16:29:40|мне база нужна
duke-81|2013/05/20 16:29:48|из которой делать
iabbliz|2013/05/20 16:32:20|логин iarz
пароль 006282
домен krukro
 BlizzardAnton (16:28:45 20/05/2013) 
ip?
 Круг. Виктор Администратор (16:30:59 20/05/2013) 
изнутри 192.168.10.16 или по имень krug-db8, из интернета 212.24.60.132:4445
iabbliz|2013/05/20 16:32:35|Srvr=&quot;krug-db8&quot;;Ref=&quot;ATC&quot;;
iabbliz|2013/05/20 16:32:41|путь до реальной базы
iabbliz|2013/05/20 16:33:18|подключился?
duke-81|2013/05/20 16:33:18|чот не могу прицепиться
duke-81|2013/05/20 16:33:23|пароль не берет)
iabbliz|2013/05/20 16:33:29|логин как написал?
iabbliz|2013/05/20 16:33:41|krukro\iarz
iabbliz|2013/05/20 16:33:44|?
duke-81|2013/05/20 16:34:00|во
duke-81|2013/05/20 16:34:05|а я через собачку
iabbliz|2013/05/20 16:34:58|все убежал, если нужен текущий cf напиши Максу
duke-81|2013/05/20 16:35:10|а в базу то пустит?
iabbliz|2013/05/20 16:35:28|а почему нет?
duke-81|2013/05/20 16:35:39|под кем в бау заходить
