author|0|body_xml
enichevmaxim|2013/05/28 07:22:45|Для Каждого СтрокаТовар Из ЗаказПокупателя.Товары Цикл
     СтрокаТовар.Размещение = ДокСчет.Товары[СтрокаТовар.НомерСтроки-1].рздРазмещение;
 КонецЦикла;
iabbliz|2013/05/28 07:23:03|тааак
iabbliz|2013/05/28 07:23:07|и?=)
iabbliz|2013/05/28 07:23:29|т.е. он из счета размещение проставляет?
enichevmaxim|2013/05/28 07:23:33|да
iabbliz|2013/05/28 07:23:42|код откуда?
enichevmaxim|2013/05/28 07:23:47|мой..))
iabbliz|2013/05/28 07:23:52|=)
enichevmaxim|2013/05/28 07:23:53|но началось сутра сегодня
enichevmaxim|2013/05/28 07:24:02|вчера все ок было
iabbliz|2013/05/28 07:24:24|наверно это лучше отослать Пасечник
enichevmaxim|2013/05/28 07:24:27|это и веба доукменты создаю
iabbliz|2013/05/28 07:24:28|Пасечнику=)
enichevmaxim|2013/05/28 07:24:34|понял..<ss type="smile">:)</ss>
iabbliz|2013/05/28 09:00:53|=) ага перекинули на другой объект
iabbliz|2013/05/28 09:00:57|он свободен=)
enichevmaxim|2013/05/28 09:00:59|<ss type="smile">:)</ss> понял..
enichevmaxim|2013/05/28 09:01:10|оке, тогда обновления если над - через меня..
iabbliz|2013/05/28 09:01:16|хорошо.
enichevmaxim|2013/05/28 09:01:30|спасибо тебе за хелп..<ss type="smile">:)</ss>
iabbliz|2013/05/28 09:02:18|Не за что, приятно было работать.
iabbliz|2013/05/28 09:02:44|тебе тоже спасибо, за адекватность и профессионализм.
iabbliz|2013/05/28 09:13:10|тоже не считаю себя профессионалом, чем больше учусь тем больше понимаю что ничего не понимаю, и еще учится и учится
